Compressor_Level:1 Granularity:2624  Compression_Ratio:76.94820
Compressor_Level:2 Granularity:2624  Compression_Ratio:77.27861
Compressor_Level:3 Granularity:2624  Compression_Ratio:79.83733
Compressor_Level:4 Granularity:2624  Compression_Ratio:109.19824
Compressor_Level:5 Granularity:2624  Compression_Ratio:109.19824
Compressor_Level:6 Granularity:2624  Compression_Ratio:109.20064
Compressor_Level:7 Granularity:2624  Compression_Ratio:109.20064
Compressor_Level:8 Granularity:2624  Compression_Ratio:109.20183
Compressor_Level:9 Granularity:2624  Compression_Ratio:119.11266
Compressor_Level:0 Granularity:2688  Compression_Ratio:0.99814
Compressor_Level:1 Granularity:2688  Compression_Ratio:78.42625
Compressor_Level:2 Granularity:2688  Compression_Ratio:78.42871
Compressor_Level:3 Granularity:2688  Compression_Ratio:78.42933
Compressor_Level:4 Granularity:2688  Compression_Ratio:111.85788
Compressor_Level:5 Granularity:2688  Compression_Ratio:111.85788
Compressor_Level:6 Granularity:2688  Compression_Ratio:111.85914
Compressor_Level:7 Granularity:2688  Compression_Ratio:111.86039
Compressor_Level:8 Granularity:2688  Compression_Ratio:111.86165
Compressor_Level:9 Granularity:2688  Compression_Ratio:122.01185
Compressor_Level:0 Granularity:2752  Compression_Ratio:0.99819
Compressor_Level:1 Granularity:2752  Compression_Ratio:78.36892
Compressor_Level:2 Granularity:2752  Compression_Ratio:83.26984
Compressor_Level:3 Granularity:2752  Compression_Ratio:88.66507
Compressor_Level:4 Granularity:2752  Compression_Ratio:119.48522
Compressor_Level:5 Granularity:2752  Compression_Ratio:119.48380
Compressor_Level:6 Granularity:2752  Compression_Ratio:119.48666
Compressor_Level:7 Granularity:2752  Compression_Ratio:119.48666
Compressor_Level:8 Granularity:2752  Compression_Ratio:119.48952
Compressor_Level:9 Granularity:2752  Compression_Ratio:124.90997
Compressor_Level:0 Granularity:2816  Compression_Ratio:0.99823
Compressor_Level:1 Granularity:2816  Compression_Ratio:78.83427
Compressor_Level:2 Granularity:2816  Compression_Ratio:78.83987
Compressor_Level:3 Granularity:2816  Compression_Ratio:79.46952
Compressor_Level:4 Granularity:2816  Compression_Ratio:117.17531
Compressor_Level:5 Granularity:2816  Compression_Ratio:117.17393
Compressor_Level:6 Granularity:2816  Compression_Ratio:117.17668
Compressor_Level:7 Granularity:2816  Compression_Ratio:117.17668
Compressor_Level:8 Granularity:2816  Compression_Ratio:117.17944
Compressor_Level:9 Granularity:2816  Compression_Ratio:133.88519
Compressor_Level:0 Granularity:2880  Compression_Ratio:0.99827
Compressor_Level:1 Granularity:2880  Compression_Ratio:79.36073
